thank you for watching.,"['thank', 'for', '.']"
"jonathan, we have been seeing a summer of protest.","['jonathan', 'we', 'been', 'seeing', 'a', 'summer', 'protest', '.']"
this is bad for all workers.,"['is', 'bad', 'for', 'workers']"
"how so, sir?","['how', 'so', 'sir', '?']"
to the extent they join the unions it's bad.,"['the', 'they', 'join', 'unions', 'it', 'bad', '.']"
unions are pai parasite.,"['unions', 'are', 'pai', 'parasite']"
they need fresh blood to keep them alive.,"['need', 'fresh', 'blood', 'to', 'them', 'alive']"
the union membership is half of what it was on the 1950s.,"['union', 'membership', 'is', 'half', 'what', 'was', 'the', '.']"
"we know what they have done for the companies employed, the hostess or the textile workers long shoremen.","['for', '.', 'or', 'the', ',', 'the', 'have', 'what', 'shoremen', 'companies', 'hostess', 'know', 'workers']"
they are looking for anyone to sign up.,"['are', 'looking', 'for', 'to', 'sign', '.']"
"given union membership trends, i think they are likely to be unsuccessful for a good reason.","['given', 'union', 'membership', 'trends', 'i', 'think', 'they', 'likely', 'to', 'be', 'for', 'a', 'good', '.']"
john pointed something out.,"['john', 'pointed', 'something', '.']"
"in the last 45 years the union membership consistently with very few exceptions every year, they have lost membemembership.","['the', '45', 'years', 'the', 'union', 'consistently', 'with', 'very', 'few', 'every', 'year', ',', 'they', 'lost', 'membemembership']"
go to town.,"['go', 'town', '.']"
"you're all for business decision, this is a business decision for the afl-cio.","[""'re"", 'all', 'business', ',', 'this', 'is', 'business', 'for', 'the', '.']"
bring in more members to create more money for themselves.,"['bring', 'more', 'members', 'to', 'more', 'money', 'for', 'themselves']"
create more action for members.,"['create', 'more', 'action', 'members', '.']"
they are no longer representing the workers.,"['are', 'no', 'representing', 'the', 'workers']"
they represent the political views.,"['represent', 'the', 'views', '.']"
at the end of the day they are asking for a lot.,"['the', 'of', 'the', 'they', 'asking', 'for', 'lot', '.']"
giving back very little.,"['giving', 'very', 'little', '.']"
i don't hold them as accountable if for government who has not sponsored the jobs in this country.,"['i', 'do', ""n't"", 'hold', 'as', 'if', 'for', 'who', 'not', 'sponsored', 'jobs', 'in', 'this', 'country']"
they are not working.,"['are', 'not', 'working', '.']"
they don't have anywhere to go.,"['do', ""n't"", 'have', 'anywhere', 'to', '.']"
the policy in the country is not help create jobs.,"['policy', 'in', 'country', 'not', 'help', 'create', 'jobs', '.']"
not a business-friendly administration.,"['not', 'business-friendly', 'administration', '.']"
"wayne, i guess julie is right.","['wayne', 'i', 'guess', 'julie', 'is', 'right', '.']"
you can't blame them for trying.,"['ca', ""n't"", 'blame', 'them', 'trying']"
they will take any workers.,"['take', 'will', 'any', '.']"
what does it mean?,"['?', 'does', 'it']"
any worker nonunionized will pay dues to a union?,"['worker', 'nonunionized', 'will', 'pay', 'dues', 'to', 'union']"
for what?,['what']
that is the idea.,"['is', 'the', '.']"
"whether or not it's a viable idea is yet to be tested.i don't think anyone will pay a union leader to represent them politically, which is what they are asking.","['or', 'it', ""'s"", 'viable', 'idea', 'yet', 'to', 'be', 'tested.i', 'do', 'think', 'anyone', 'will', 'pay', 'a', 'union', 'leader', 'to', 'represent', 'politically', ',', 'which', 'what', 'they', 'asking', '.']"
they are not doing anything for the worker.,"['are', 'not', 'doing', 'anything', 'for', 'worker']"
we don't have it anymore.,"['do', ""n't"", 'have', 'it', '.']"
the viability of a union is not what they used to be.,"['viability', 'of', 'union', 'not', 'what', 'they', 'used', 'be']"
there is nothing left for them to do.,"['is', 'nothing', 'left', 'for', 'to', '.']"
"they are out to perpetuate themselves, they are leaders and trying to get as much money.","['are', 'out', 'perpetuate', ',', 'they', 'leaders', 'trying', 'get', 'as', 'much', '.']"
just like a lobbyist.,"['just', 'a', '.']"
the lobbyist essentially.,"['lobbyist', 'essentially', '.']"
right.,['right']
it's a political lobby.,"[""'s"", 'a', 'lobby', '.']"
"unions -- that is their useful, you talk about the useful idiots, that's what they have become.","['unions', 'that', 'their', 'useful', 'you', 'talk', 'the', 'idiots', ',', ""'s"", 'they', 'have', 'become']"
"unfortunately, not just lobbying, but being granted monopoly power by government.","['unfortunately', 'not', 'just', 'lobbying', ',', 'being', 'monopoly', 'power', 'by', 'government', '.']"
nobody wants to argue against anyone's right to advocate for the principle or position they want.,"['nobody', 'wants', 'argue', 'against', ""'s"", 'right', 'advocate', 'for', 'principle', 'or', 'they', '.']"
"where the unions have gone astray is getting the special favors, granted by the government.","['where', 'unions', 'have', 'gone', 'astray', 'is', 'getting', 'the', 'favors', ',', 'granted', 'the', 'government']"
"we know -- any number of thebusinesses, the industry airlines, automobiles for which the unions have been involved.","['know', '--', 'number', 'thebusinesses', ',', 'industry', 'airlines', 'automobiles', 'which', 'the', 'unions', 'been', 'involved']"
i can't imagine why.,"['i', 'ca', ""n't"", 'imagine', 'why']"
i'm not surprised why most workers are saying no.,"['i', ""'m"", 'not', 'surprised', 'why', 'most', 'workers', 'are', 'saying', '.']"
quick thought.,"['quick', 'thought']"
"wall street deserves a lobby, gun owners deserve a lobby but not unions?","['owners', 'not', 'wall', 'deserve', 'lobby', 'lobby', 'unions', 'a', 'street', ',', 'deserves']"
c'mon.,"[""c'mon""]"
"whoa, get the lobby, not special favors.","['whoa', 'get', 'the', ',', 'not', 'favors', '.']"
they represent everything and overall percentage of the workforce --  11% for union membership.,"['represent', 'everything', 'and', 'percentage', 'of', 'the', '--', '%', 'for', 'membership', '.']"
diminishing by the day.,"['diminishing', 'the', '.']"
thanks to san dr. dr. and sandra for joining us.,"['thanks', 'san', 'dr.', 'dr.', 'and', 'for', 'joining', '.']"
"lock, loaded, firing back.","['lock', 'loaded', ',', 'back', '.']"
recalled voters spending a powerful message to the antigun politicians.,"['recalled', 'voters', 'spending', 'powerful', 'message', 'to', 'antigun', '.']"
don't tell us what we can or can't buy with our own money.,"['do', ""n't"", 'tell', 'what', 'can', 'ca', ""n't"", 'with', 'our', 'own', 'money']"
20 years with the company.,"['20', 'years', 'the', '.']"
thousands of presentations.,"['thousands', 'presentations', '.']"
and one rd earned partnership.,"['one', 'partnership', '.', 'earned', 'rd']"
it took a lot of work to get this far.so now i'm supposed to take a back seat when it comes to my investments?,"['took', 'a', 'of', 'work', 'get', 'this', 'now', 'i', 'supposed', 'to', 'take', 'a', 'back', 'seat', 'it', 'comes', 'my', 'investments', '?']"
there's zero chance of that happening.,"['chance', 'happening', 'zero', 'of', ""'s""]"
"when you work with a schwab financial consultant, you'll get the guidance you need with the control you want.","['when', 'work', 'with', 'schwab', 'consultant', ',', 'you', ""'ll"", 'the', 'you', 'need', 'with', 'control', 'you', '.']"
talk to us today.,"['talk', 'us', '.']"
time for what do i need to know for next week?,"['time', 'what', 'i', 'need', 'to', 'know', 'next', 'week']"
"wayne, you are up first.","['wayne', 'you', 'up', 'first', '.']"
kek out xbi.,"['kek', 'xbi', '.']"
i'm a little leery of what themarket is doing.,"['i', ""'m"", 'little', 'leery', 'of', 'themarket', 'doing', '.']"
"long-term, look for the biotech.","['long-term', 'look', 'for', 'biotech']"
little risky there.,"['little', 'risky', 'there']"
"go ahead, john.","['go', 'ahead', 'john', '.']"
africa.,['africa']
this is a hot destination.,"['is', 'a', 'destination', '.']"
afk is the exchange traded fund i'm looking at now.,"['afk', 'is', 'exchange', 'traded', 'fund', 'i', ""'m"", 'looking', 'at', '.']"
this has financials.,"['has', 'financials', '.']"
we have to leave it there.,"['it', 'have', 'there', 'to']"
i love that song.,"['i', 'love', 'song', '.']"
that is it for cost of freedom block.,"['is', 'it', 'cost', 'freedom', 'block']"
thank you for joining us.,"['thank', 'for', 'us', '.']"
"before we go, they call two democratic lawmakers this week.","['we', ',', 'they', 'two', 'lawmakers', 'this', 'week', '.']"
"president of the colorado senate, john morris getting booted from the legislature.","['president', 'the', 'senate', ',', 'john', 'getting', 'booted', 'from', 'the', 'legislature']"
they are expanding gun control laws.,"['are', 'expanding', 'gun', 'control', 'laws', '.']"
colorado is a blue state.,"['colorado', 'is', 'blue', 'state', '.']"
something interested happened in colorado.,"['something', 'interested', 'happened', 'colorado', '.']"
something the democrats in 2014 might take note of.,"['something', 'democrats', 'in', 'might', 'take', 'note', 'of', '.']"
don't mess with the second a.m. we have a right to bearlet the good times roll.,"['do', ""n't"", 'mess', 'the', 'a.m.', 'we', 'have', 'right', 'to', 'the', 'good', 'roll', '.']"
they had a mini carnaval in rome right behind us in rome.,"['had', 'a', 'carnaval', 'in', 'rome', 'behind', 'us', 'in', '.']"
it will all be different tomorrow.,"['will', 'all', 'be', 'different', 'tomorrow', '.']"
i'm shepard smith.,"['i', ""'m"", 'shepard', 'smith']"
here comes your world with neil cavuto.,"['here', 'comes', 'world', 'with', 'cavuto', '.']"
"tonight barack obama has choice, maggie or nicky or keep playing the same games on spending that have the capital more looking like walt disney.","['tonight', 'barack', 'obama', 'has', 'choice', 'maggie', 'or', 'or', 'keep', 'the', 'same', 'games', 'spending', 'that', 'have', 'capital', 'more', 'like', 'walt', '.']"
all it took a report out out of treasury of a surprising surplus to take the pressure off this president to cut spending this cold night in february.,"['it', 'a', 'report', 'out', 'of', 'of', 'surprising', 'to', 'take', 'pressure', 'this', 'president', 'to', 'spending', 'this', 'night', 'in', '.']"
democrats quickly seizing on the data proof the deficits are getting better thanks to higher taxes.,"['democrats', 'quickly', 'seizing', 'the', 'proof', 'the', 'deficits', 'getting', 'better', 'thanks', 'to', 'higher', 'taxes']"
"the president apparently says that his debt slashing is allbut done, he has come up with $4 trillion budget cuts and mission accomplished.","['president', 'apparently', 'says', 'that', 'debt', 'is', 'allbut', 'done', ',', 'he', 'has', 'up', '$', '4', 'trillion', 'cuts', 'mission', '.']"
it's over ten years and still leave us $35 trillion more bucks in debt over the same ten years.,"[""'s"", 'over', 'years', 'and', 'still', 'us', '$', '35', 'more', 'in', 'debt', 'over', 'the', 'same', 'years', '.']"
are we really saying it could have been worse?,"['are', 'really', 'saying', 'it', 'have', 'been', 'worse', '?']"
"it could have been $9 trillion more, more or less.","['could', 'have', 'been', '$', 'trillion', 'more', ',', 'more', 'less', '.']"
don't expect much cutting.,"['do', ""n't"", 'expect', 'much', 'cutting']"
because now is not the time to cut.,"['because', 'now', 'is', 'not', 'time', 'to', '.']"
"you got to ask yourself, when is the time to cut?","['got', 'to', 'yourself', ',', 'is', 'time', 'to', 'cut']"
if the economy is too fragile to cut spending why is it perfectly fine to raise taxes?,"['the', 'is', 'too', 'fragile', 'to', 'cut', 'why', 'is', 'it', 'perfectly', 'fine', 'raise', 'taxes', '?']"
so revenue is good and less government bad?,"['so', 'revenue', 'is', 'good', 'less', 'government', 'bad', '?']"
it's time to seized moment of spending right now but something tells me not this president and not now because it's clear that barack obama neither senses the urgency to cut spending nor the need and pelosi doesn't even see a spending problem.,"[""'s"", 'time', 'to', 'moment', 'of', 'spending', 'now', 'but', 'something', 'tells', 'not', 'this', 'president', 'not', 'now', 'it', ""'s"", 'that', 'barack', 'obama', 'senses', 'urgency', 'to', 'cut', 'nor', 'the', 'need', 'pelosi', 'does', 'even', 'see', 'spending', 'problem', '.']"
because now is not the time tobe cutting anything which i think says everything.,"['because', 'now', 'is', 'not', 'time', 'tobe', 'cutting', 'anything', 'which', 'think', 'says', 'everything', '.']"
he'll use the argue coming into office four years ago because we simply couldn't afford to do it then.,"[""'ll"", 'use', 'the', 'coming', 'into', 'office', 'years', 'ago', 'because', 'we', 'simply', ""n't"", 'to', 'do', 'it', 'then', '.']"
six trillion in debt and four years later later.,"['six', 'trillion', 'debt', 'and', 'years', 'later', 'later', '.']"
"seriously, when is the right time to cut?","['seriously', 'when', 'is', 'the', 'time', 'to', 'cut']"
when is the time to get serious.,"['when', 'is', 'time', 'to', 'serious', '.']"
cuts are never easier.,"['cuts', 'are', 'never', 'easier']"
"just as maggie thatcher, revolt of her own party when she to weather it and end up making history.","['just', 'maggie', 'thatcher', ',', 'of', 'her', 'party', 'she', 'to', 'weather', 'it', 'end', 'making', 'history']"
no other party and reckless spending will stay with us.,"['other', 'party', 'and', 'spending', 'will', 'stay', 'with', 'us']"
