keywords,caption
have the on the butthe to not do anything,we have the data on the left butthe excuse to not do anything.
let pace it stock has been cheering on bad news,let's pace it the stock market has been cheering on bad news.
"more bad news the , more market continues to go higher melissa is saying everybody is watching the .","more bad news on the economy, more stock market continues to go higher as melissa is saying, everybody is watching the fed."
things get worse know are going step in and back more and the stock market .,if things get worse they know they are going to step in and buy back more bonds and boost the stock market.
if president nothing about spending resolve .,what if the president says nothing about spending resolve tonight.
if continues more initiatives more ways to .,"what if he continues, more initiatives and more ways to spend."
that used is street wall,is wall street used to that?
is still the of sequestration we all concerned we reality set in stock .,there is still the threat of sequestration and we all get concerned and we see reality set in the stock market.
everybody is starting feel ancy how stocks and high they are,everybody is starting to feel ancy how stocks and how high they are.
"automatic spending cuts take place march 1st , lot people think than that tax hikes we go with that","automatic spending cuts take place on march 1st, a lot of people think better than that tax hikes, we may go with that."
"actual real spending cuts there , 's when thepresident talks about $ 1.7 he going to save it has to with budget that or may happen , caps that no believes is to happen .","actual real spending cuts in there, it's not when thepresident talks about $1.7 trillion he is going to save, it has to do with budget caps that may or may not happen, spending caps that no one believes is going to happen."
